"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
757337932202-59,"ACCADEMIA AUGE",2,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,1,5,,https://www.lobbyfacts.eu/datacard/accademia-auge?rid=757337932202-59
75818824519-45,FoodDrinkEurope,2,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,4,52,67,https://www.lobbyfacts.eu/datacard/fooddrinkeurope?rid=75818824519-45
758650895933-87,"Innolume GmbH",1.1,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/innolume-gmbh?rid=758650895933-87
764524716483-87,"Meststoffen Nederland",1.5,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/meststoffen-nederland?rid=764524716483-87
764768991643-75,"Qvantum Industries AB",1.5,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,1,1,,https://www.lobbyfacts.eu/datacard/qvantum-industries-ab?rid=764768991643-75
767983647159-13,"Elekta AB",1.2,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/elekta-ab?rid=767983647159-13
769108495664-13,"Tekscend Photomask Germany GmbH",0.1,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/tekscend-photomask-germany-gmbh?rid=769108495664-13
77105321408-83,"Fédération Européenne des Fabricants d'Aliments Composés",2,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,4,41,35,https://www.lobbyfacts.eu/datacard/fédération-européenne-des-fabricants-daliments-composés?rid=77105321408-83
772713229827-26,"Westport Fuel Systems Inc.",1.45,200000,"Promotes their own interests or the collective interests of their members",CANADA,ITALY,,2,,https://www.lobbyfacts.eu/datacard/westport-fuel-systems-inc?rid=772713229827-26
773359447496-78,"Dansk Standard",3.2,200000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,1,2,1,https://www.lobbyfacts.eu/datacard/dansk-standard?rid=773359447496-78
775558652204-94,"College Green Group",1.35,200000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",,3,,https://www.lobbyfacts.eu/datacard/college-green-group?rid=775558652204-94
781914737871-44,"IKEM - Innovations- och kemiindustrierna i Sverige AB (556865-4650)",1.25,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,2,14,3,https://www.lobbyfacts.eu/datacard/ikem---innovations--och-kemiindustrierna-i-sverige-ab-556865-4650?rid=781914737871-44
782663950310-61,"Gamesa Electric",1,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/gamesa-electric?rid=782663950310-61
783550251142-50,"Confederación Nacional de Autoescuelas",0.3,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/confederación-nacional-de-autoescuelas?rid=783550251142-50
783672324981-52,"Avanci, LLC",0.95,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",IRELAND,,,11,https://www.lobbyfacts.eu/datacard/avanci-llc?rid=783672324981-52
784493623035-87,"Global Exchange Network Association",1.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/global-exchange-network-association?rid=784493623035-87
785320514128-81,"Svaz průmyslu a dopravy ČR",6.75,200000,"Promotes their own interests or the collective interests of their members","CZECH REPUBLIC","CZECH REPUBLIC",,,13,https://www.lobbyfacts.eu/datacard/svaz-průmyslu-a-dopravy-čr?rid=785320514128-81
788795735716-56,"jtsec Beyond IT Security",5,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/jtsec-beyond-it-security?rid=788795735716-56
791318751108-34,UGC,0.6,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,1,https://www.lobbyfacts.eu/datacard/ugc?rid=791318751108-34
795384637216-30,"Payments Europe",1,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,3,https://www.lobbyfacts.eu/datacard/payments-europe?rid=795384637216-30
796509292221-78,"Comité des Constructeurs Français d'Automobiles",0.35,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/comité-des-constructeurs-français-dautomobiles?rid=796509292221-78
802312827842-26,"5G Automotive Association",1.1,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,11,https://www.lobbyfacts.eu/datacard/_g-automotive-association?rid=802312827842-26
805038648196-45,"European Technology and Innovation Platform on Photovoltaics",3.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-technology-and-innovation-platform-on-photovoltaics?rid=805038648196-45
805736251170-26,"Assemblé Région Européennes Viticoles",2.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/assemblé-région-européennes-viticoles?rid=805736251170-26
806011094901-15,"Internet of trust",2.5,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/internet-of-trust?rid=806011094901-15
808295611738-96,"EUROPEAN TUGOWNERS ASSOCIATION",2,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,5,,https://www.lobbyfacts.eu/datacard/european-tugowners-association?rid=808295611738-96
81175628740-75,"The Norwegian Shipowners' Association",2.5,200000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,2,7,6,https://www.lobbyfacts.eu/datacard/the-norwegian-shipowners-association?rid=81175628740-75
812746091618-04,"ALTAMIN LIMITED",2,200000,"Promotes their own interests or the collective interests of their members",AUSTRALIA,AUSTRALIA,,,,https://www.lobbyfacts.eu/datacard/altamin-limited?rid=812746091618-04
812833449228-83,"St. Gallen Symposium",3.25,200000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,1,https://www.lobbyfacts.eu/datacard/st-gallen-symposium?rid=812833449228-83
814580349756-70,"8 Rivers Capital",0.25,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/_-rivers-capital?rid=814580349756-70
814982550629-35,"Western Union",0.25,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,1,,https://www.lobbyfacts.eu/datacard/western-union?rid=814982550629-35
815099948248-86,"Stichting Belangenbehartiging Nederlandse Golfkartonindustrie",1,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stichting-belangenbehartiging-nederlandse-golfkartonindustrie?rid=815099948248-86
817569436762-48,"International Association of Credit Portfolio Managers",0.75,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/international-association-of-credit-portfolio-managers?rid=817569436762-48
822442145845-40,Gard&Djurhalsan,0.25,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/garddjurhalsan?rid=822442145845-40
823516326548-17,"Deloitte Advisory, S.L.",1.5,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,2,2,3,https://www.lobbyfacts.eu/datacard/deloitte-advisory-sl?rid=823516326548-17
827688315793-86,"Heineken N.V.",1.25,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,1,13,22,https://www.lobbyfacts.eu/datacard/heineken-nv?rid=827688315793-86
82797211999-77,"Kassenärztliche Bundesvereinigung",2,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,2,19,1,https://www.lobbyfacts.eu/datacard/kassenärztliche-bundesvereinigung?rid=82797211999-77
828617341174-24,"ALLRAIL Alliance of Rail New Entrants",4.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,4,8,4,https://www.lobbyfacts.eu/datacard/allrail-alliance-of-rail-new-entrants?rid=828617341174-24
83556987496-24,"ASEGRE - Asociación de Empresas Gestoras de Residuos y Recursos Especiales",0.6,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asegre---asociación-de-empresas-gestoras-de-residuos-y-recursos-especiales?rid=83556987496-24
835586048049-77,"Nordic Initiative for Sustainable Aviation",2.75,200000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/nordic-initiative-for-sustainable-aviation?rid=835586048049-77
839750612639-40,GKV-Spitzenverband,2.5,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/gkv-spitzenverband?rid=839750612639-40
840355838481-58,"Stichting Partnership on Sustainable, Low Carbon Transport (SLOCAT)",0.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/stichting-partnership-on-sustainable-low-carbon-transport-slocat?rid=840355838481-58
844809893656-56,"Cohere Inc. and subsidiaries/affiliated associations",0.45,200000,"Promotes their own interests or the collective interests of their members",CANADA,CANADA,,,1,https://www.lobbyfacts.eu/datacard/cohere-inc-and-subsidiaries-affiliated-associations?rid=844809893656-56
84615015169-54,"ADRA - Adventist Development and Relief Agency - EUROPE REGIONAL Office",1.1,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,12,1,https://www.lobbyfacts.eu/datacard/adra---adventist-development-and-relief-agency---europe-regional-office?rid=84615015169-54
846591792241-79,"Orion Engineered Carbons",1,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/orion-engineered-carbons?rid=846591792241-79
847206146825-85,Ragn-Sellsföretagen,2.95,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,2,3,2,https://www.lobbyfacts.eu/datacard/ragn-sellsföretagen?rid=847206146825-85
848664212424-97,"Asociación Española de Mayoristas, Transformadores, Importadores y Exportadores de Productos de la Pesca y la Acuicultura",1.75,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,3,13,2,https://www.lobbyfacts.eu/datacard/asociación-española-de-mayoristas-transformadores-importadores-y-exportadores-de-productos-de-la-pesca-y-la-acuicultura?rid=848664212424-97
84917875724-73,"Bundesverband Deutscher Leasing-Unternehmen e. V.",1.3,200000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,,10,1,https://www.lobbyfacts.eu/datacard/bundesverband-deutscher-leasing-unternehmen-e-v?rid=84917875724-73
849925514506-35,"Li Service",2,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,4,,https://www.lobbyfacts.eu/datacard/li-service?rid=849925514506-35
850726637028-25,"SYNERGRID, Fédération des Gestionnaires de Réseaux Electricité et Gaz en Belgique",0.75,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,6,,https://www.lobbyfacts.eu/datacard/synergrid-fédération-des-gestionnaires-de-réseaux-electricité-et-gaz-en-belgique?rid=850726637028-25
861194311863-31,"UPM-Kymmene Oyj",3.5,200000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,11,31,https://www.lobbyfacts.eu/datacard/upm-kymmene-oyj?rid=861194311863-31
865770448775-87,"Svensk Handel",4.25,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,BELGIUM,2,6,1,https://www.lobbyfacts.eu/datacard/svensk-handel?rid=865770448775-87
866541247974-60,"NVIDIA Corporation",1,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",GERMANY,,2,11,https://www.lobbyfacts.eu/datacard/nvidia-corporation?rid=866541247974-60
867965517169-77,"Metal Packaging Europe External Affairs ASBL",1.6,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,20,7,https://www.lobbyfacts.eu/datacard/metal-packaging-europe-external-affairs-asbl?rid=867965517169-77
868759296169-96,"Switching Gears for Net-Zero Alliance",0.3,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/switching-gears-for-net-zero-alliance?rid=868759296169-96
870060728390-52,"European association of abnormal road transport and mobile cranes",4,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/european-association-of-abnormal-road-transport-and-mobile-cranes?rid=870060728390-52
871659237699-78,"European Paper Packaging Alliance",2,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,5,13,https://www.lobbyfacts.eu/datacard/european-paper-packaging-alliance?rid=871659237699-78
873264846937-84,"Caritas Africa",0.3,200000,"Promotes their own interests or the collective interests of their members",TOGO,TOGO,,,1,https://www.lobbyfacts.eu/datacard/caritas-africa?rid=873264846937-84
873508417106-05,ASD-Eurospace,1.75,200000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,1,20,34,https://www.lobbyfacts.eu/datacard/asd-eurospace?rid=873508417106-05
875134324842-85,"Youth Organisations for Drug Action",7.75,200000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/youth-organisations-for-drug-action?rid=875134324842-85
87564644126-75,"RTX Corporation",2,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,39,15,https://www.lobbyfacts.eu/datacard/rtx-corporation?rid=87564644126-75
886415644901-92,"Jazz Pharmaceuticals plc",0.5,200000,"Promotes their own interests or the collective interests of their members",IRELAND,"UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/jazz-pharmaceuticals-plc?rid=886415644901-92
89046007765-76,"Assogestioni - Italian Investment Management Association",6.25,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,2,25,7,https://www.lobbyfacts.eu/datacard/assogestioni---italian-investment-management-association?rid=89046007765-76
891543824750-65,"Baltic Sea Advisory Council",1.25,200000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,1,4,https://www.lobbyfacts.eu/datacard/baltic-sea-advisory-council?rid=891543824750-65
891751020903-63,"Sappi Europe SA",0.9,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,2,https://www.lobbyfacts.eu/datacard/sappi-europe-sa?rid=891751020903-63
893618450044-61,"cgil regionale toscana",3,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/cgil-regionale-toscana?rid=893618450044-61
893916722226-82,"Motorola Solutions Incorporated",1.05,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,6,https://www.lobbyfacts.eu/datacard/motorola-solutions-incorporated?rid=893916722226-82
894169452266-64,"Groupement des Industries Françaises Aéronautiques et Spatiales",1.5,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,1,1,https://www.lobbyfacts.eu/datacard/groupement-des-industries-françaises-aéronautiques-et-spatiales?rid=894169452266-64
89648243865-50,Bundesärztekammer,2,200000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,27,4,https://www.lobbyfacts.eu/datacard/bundesärztekammer?rid=89648243865-50
9034794234-28,"Vorwerk SE & Co. KG",2,200000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,,21,,https://www.lobbyfacts.eu/datacard/vorwerk-se--co-kg?rid=9034794234-28
90453504235-64,"European Association of the Electricity Transmission and Distribution Equipment and Services Industry",1.5,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,4,10,https://www.lobbyfacts.eu/datacard/european-association-of-the-electricity-transmission-and-distribution-equipment-and-services-industry?rid=90453504235-64
905001612275-82,"Enagás S.A.",1.05,200000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,3,32,29,https://www.lobbyfacts.eu/datacard/enagás-sa?rid=905001612275-82
910162617573-84,"Medialiitto ry",2.25,200000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,3,https://www.lobbyfacts.eu/datacard/medialiitto-ry?rid=910162617573-84
910718933141-09,"ESET, spol. s r.o.",5,200000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,4,https://www.lobbyfacts.eu/datacard/eset-spol-s-ro?rid=910718933141-09
910859715397-14,"Erste Group Bank AG",2,200000,"Promotes their own interests or the collective interests of their members",AUSTRIA,BELGIUM,2,13,16,https://www.lobbyfacts.eu/datacard/erste-group-bank-ag?rid=910859715397-14
911839751692-89,AERMEC,2.85,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,1,https://www.lobbyfacts.eu/datacard/aermec?rid=911839751692-89
912286223260-10,"ASSIMAGRA - ASSOCIAÇÃO PORTUGUESA DA INDÚSTRIA DOS RECURSOS MINERAIS (PORTUGAL MINERAL RESOURCES)",1.25,200000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/assimagra---associação-portuguesa-da-indústria-dos-recursos-minerais-portugal-mineral-resources?rid=912286223260-10
912347852036-23,"Discurso Paralelo Associação",5.5,200000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,1,https://www.lobbyfacts.eu/datacard/discurso-paralelo-associação?rid=912347852036-23
91471238809-21,"MFE - MEDIAFOREUROPE N.V",3,200000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,3,41,22,https://www.lobbyfacts.eu/datacard/mfe---mediaforeurope-nv?rid=91471238809-21
914893310703-33,"Ahold Delhaize",1.25,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,1,2,8,https://www.lobbyfacts.eu/datacard/ahold-delhaize?rid=914893310703-33
91682404018-74,"North Sea Advisory Council",2.8,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,1,9,4,https://www.lobbyfacts.eu/datacard/north-sea-advisory-council?rid=91682404018-74
917204122840-28,"MAHLE International GmbH",3.25,200000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,17,22,https://www.lobbyfacts.eu/datacard/mahle-international-gmbh?rid=917204122840-28
91806074044-71,"The European Automotive Research Partners Association",3.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/the-european-automotive-research-partners-association?rid=91806074044-71
919319238931-66,"Political Solutions",1,200000,"Advances interests of their clients",BELGIUM,BELGIUM,1,2,,https://www.lobbyfacts.eu/datacard/political-solutions?rid=919319238931-66
919382192005-76,"Norwegian Association of Local and Regional Authorities",2.1,200000,"Promotes their own interests or the collective interests of their members",NORWAY,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/norwegian-association-of-local-and-regional-authorities?rid=919382192005-76
9201911441-69,"Scotch Whisky Association",2.9,200000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,6,https://www.lobbyfacts.eu/datacard/scotch-whisky-association?rid=9201911441-69
923710115785-95,"Transatlantic Policy Network",1.5,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,,,7,https://www.lobbyfacts.eu/datacard/transatlantic-policy-network?rid=923710115785-95
923856024330-39,"Manufacture de Tabacs Heintz van Landewyck",1.5,200000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,LUXEMBOURG,,,,https://www.lobbyfacts.eu/datacard/manufacture-de-tabacs-heintz-van-landewyck?rid=923856024330-39
930637620172-95,"Havenbedrijf Rotterdam NV",2,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,2,9,16,https://www.lobbyfacts.eu/datacard/havenbedrijf-rotterdam-nv?rid=930637620172-95
930741052491-58,"La Coordinadora de Organizaciones para el Desarrollo",4.2,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,1,1,,https://www.lobbyfacts.eu/datacard/la-coordinadora-de-organizaciones-para-el-desarrollo?rid=930741052491-58
932274339872-30,"Ball Beverage Packaging Europe Limited",0.85,200000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",GERMANY,,,6,https://www.lobbyfacts.eu/datacard/ball-beverage-packaging-europe-limited?rid=932274339872-30
934667112465-59,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",6,200000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,2,21,8,https://www.lobbyfacts.eu/datacard/cámara-oficial-de-comercio-industria-servicios-y-navegación-de-españa?rid=934667112465-59
9354466365-17,"Sony Europe B.V.",1.4,200000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,,9,,https://www.lobbyfacts.eu/datacard/sony-europe-bv?rid=9354466365-17
935776746396-92,"Lucid Europe B.V.",1,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,1,5,3,https://www.lobbyfacts.eu/datacard/lucid-europe-bv?rid=935776746396-92
942697591607-88,"RICARDO CONSULTING",0.1,200000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/ricardo-consulting?rid=942697591607-88
943288637380-93,"GASCADE Gastransport GmbH",1.5,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,4,https://www.lobbyfacts.eu/datacard/gascade-gastransport-gmbh?rid=943288637380-93
944198631623-17,"6G Smart Networks and Services Industry Association",3.05,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,5,https://www.lobbyfacts.eu/datacard/_g-smart-networks-and-services-industry-association?rid=944198631623-17
9447162467-70,"La Coopération Agricole",2,200000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,2,8,5,https://www.lobbyfacts.eu/datacard/la-coopération-agricole?rid=9447162467-70
944733432021-08,"EIT Food ivzw",3.25,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,15,11,https://www.lobbyfacts.eu/datacard/eit-food-ivzw?rid=944733432021-08
944949634502-14,FEDERDISTRIBUZIONE,1.5,200000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,3,,https://www.lobbyfacts.eu/datacard/federdistribuzione?rid=944949634502-14
945120918083-26,"Pharma Deutschland e.V",4,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,2,18,2,https://www.lobbyfacts.eu/datacard/pharma-deutschland-ev?rid=945120918083-26
945431547603-28,"Mitsubishi UFJ Financial Group",2,200000,"Promotes their own interests or the collective interests of their members",JAPAN,NETHERLANDS,2,5,5,https://www.lobbyfacts.eu/datacard/mitsubishi-ufj-financial-group?rid=945431547603-28
946148347544-40,"Thales Norway AS",1.15,200000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,,,,https://www.lobbyfacts.eu/datacard/thales-norway-as?rid=946148347544-40
948333125186-06,"Climate-KIC Holding BV",1.25,200000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,1,24,12,https://www.lobbyfacts.eu/datacard/climate-kic-holding-bv?rid=948333125186-06
948363814168-95,"Academy of Medical Sciences",1,200000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/academy-of-medical-sciences?rid=948363814168-95
949815348837-62,"HUMANA LT",0.3,200000,"Promotes their own interests or the collective interests of their members",LITHUANIA,LITHUANIA,,,1,https://www.lobbyfacts.eu/datacard/humana-lt?rid=949815348837-62
950585824152-78,EMICERT,7.5,200000,"Promotes their own interests or the collective interests of their members",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/emicert?rid=950585824152-78
952322311484-70,"EDSO for Smart Grids",1.75,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,50,21,https://www.lobbyfacts.eu/datacard/edso-for-smart-grids?rid=952322311484-70
95685068542-71,"Association of the European Heating Industry",6.85,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,10,62,10,https://www.lobbyfacts.eu/datacard/association-of-the-european-heating-industry?rid=95685068542-71
960532323803-62,"Swedbank AB (publ)",1.5,200000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,18,https://www.lobbyfacts.eu/datacard/swedbank-ab-publ?rid=960532323803-62
962687110415-94,"Metsäliitto Cooperative",3,200000,"Promotes their own interests or the collective interests of their members",FINLAND,BELGIUM,5,38,55,https://www.lobbyfacts.eu/datacard/metsäliitto-cooperative?rid=962687110415-94
962963396569-03,EUROMETAL,1.5,200000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,LUXEMBOURG,,,,https://www.lobbyfacts.eu/datacard/eurometal?rid=962963396569-03
963186850826-94,FORVIA,1.65,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,1,3,https://www.lobbyfacts.eu/datacard/forvia?rid=963186850826-94
963194792688-03,"Carbon Capture & Storage Europe",1.15,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/carbon-capture--storage-europe?rid=963194792688-03
963373911020-79,"Association nationale interprofessionnelle du bétail et des viandes",1.25,200000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,5,12,https://www.lobbyfacts.eu/datacard/association-nationale-interprofessionnelle-du-bétail-et-des-viandes?rid=963373911020-79
964972930958-75,"Global Federation of Insurance Associations",2,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/global-federation-of-insurance-associations?rid=964972930958-75
96737783077-62,"Région Bourgogne Franche-Comté",3,200000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/région-bourgogne-franche-comté?rid=96737783077-62
968334040015-84,"Liberty Mutual Insurance Group",1.2,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,2,https://www.lobbyfacts.eu/datacard/liberty-mutual-insurance-group?rid=968334040015-84
969504320672-09,ECOLAB,1,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",SWITZERLAND,4,5,17,https://www.lobbyfacts.eu/datacard/ecolab?rid=969504320672-09
972641035971-75,"UnitedHealth Group",1,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,1,1,https://www.lobbyfacts.eu/datacard/unitedhealth-group?rid=972641035971-75
972729217124-54,"U. S. Steel Košice, s.r.o.",1,200000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,15,https://www.lobbyfacts.eu/datacard/u-s-steel-košice-sro?rid=972729217124-54
97303386616-87,"Association française des sociétés Financières",1.75,200000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,,70,7,https://www.lobbyfacts.eu/datacard/association-française-des-sociétés-financières?rid=97303386616-87
973709234598-64,"Norddeutsche Landesbank Girozentrale",2.5,200000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/norddeutsche-landesbank-girozentrale?rid=973709234598-64
97494065606-20,"NatureWorks LLC",1.25,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",1,9,,https://www.lobbyfacts.eu/datacard/natureworks-llc?rid=97494065606-20
97609783845-15,"The European Lotteries",1,200000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,28,1,https://www.lobbyfacts.eu/datacard/the-european-lotteries?rid=97609783845-15
976964546752-76,"Public Affairs Council",2,200000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,,,,https://www.lobbyfacts.eu/datacard/public-affairs-council?rid=976964546752-76
